id;pagerank;betweenness
n33;0.10091894;0.30407498
n0;0.09699751;0.43763528
n32;0.07169303;0.14524711
n2;0.05707850;0.14365681
n1;0.05287698;0.05393669
n31;0.03715803;0.13827561
n3;0.03585991;0.01190927
n23;0.03152243;0.01761364
n8;0.02976604;0.05592683
n13;0.02953648;0.04586340
n5;0.02911130;0.02998737
n6;0.02911130;0.02998737
n29;0.02628847;0.00292208
n27;0.02563972;0.02233345
n30;0.02459013;0.01441198
n7;0.02449053;0.00000000
n4;0.02197805;0.00063131
n10;0.02197805;0.00063131
n24;0.02107599;0.00220960
n25;0.02100615;0.00384049
n19;0.01960465;0.03247505
n28;0.01957343;0.00179473
n16;0.01678409;0.00000000
n26;0.01504400;0.00000000
n12;0.01464492;0.00000000
n17;0.01455870;0.00000000
n21;0.01455870;0.00000000
n14;0.01453597;0.00000000
n15;0.01453597;0.00000000
n18;0.01453597;0.00000000
n20;0.01453597;0.00000000
n22;0.01453597;0.00000000
n9;0.01430938;0.00084776
n11;0.00956476;0.00000000
